randomization,descending_0.01,ascending_0.01,total_0.01,descending_0.02,ascending_0.02,total_0.02,descending_0.05,ascending_0.05,total_0.05,descending_0.1,ascending_0.1,total_0.1,descending_0.2,ascending_0.2,total_0.2,descending_0.3,ascending_0.3,total_0.3,descending_0.5,ascending_0.5,total_0.5
929,13,30,43,56,151,207,426,1537,1963,1886,4655,6541,7982,13069,21051,18020,25455,43475,51700,54084,105784
930,14,42,56,57,206,263,447,1515,1962,1961,4708,6669,8391,13193,21584,18463,25266,43729,52651,54726,107377
931,9,35,44,60,184,244,416,1590,2006,1932,4833,6765,8237,13225,21462,18728,25212,43940,52828,54044,106872
932,15,38,53,58,181,239,425,1564,1989,1971,4922,6893,8249,13260,21509,18451,26166,44617,52535,54834,107369
933,14,21,35,56,146,202,440,1522,1962,1870,4796,6666,8071,13015,21086,18214,25732,43946,52276,55206,107482
934,11,30,41,62,161,223,446,1542,1988,1978,4773,6751,8257,13123,21380,18980,25489,44469,52624,54913,107537
935,8,39,47,54,184,238,424,1720,2144,1858,4946,6804,8047,13311,21358,18113,25356,43469,52236,54498,106734
936,11,39,50,55,176,231,397,1741,2138,1912,5212,7124,8257,13890,22147,18750,25909,44659,53223,55536,108759
937,4,28,32,44,165,209,428,1524,1952,1901,4847,6748,8317,13032,21349,18486,25384,43870,52845,54967,107812
938,12,31,43,58,159,217,397,1640,2037,1875,4828,6703,8017,13528,21545,18445,25956,44401,53111,54582,107693
939,15,44,59,65,186,251,457,1626,2083,1926,4861,6787,8267,13154,21421,18319,25593,43912,52334,54521,106855
940,9,30,39,49,153,202,401,1582,1983,2002,4828,6830,8152,13173,21325,18704,25381,44085,53595,54383,107978
941,15,40,55,67,155,222,454,1577,2031,1997,4808,6805,8316,13116,21432,18430,25349,43779,53047,54491,107538
942,15,32,47,53,170,223,368,1533,1901,1888,4504,6392,8353,12942,21295,18799,25812,44611,53617,55026,108643
943,11,25,36,59,170,229,432,1572,2004,1959,4772,6731,8307,12926,21233,19000,25422,44422,53427,54224,107651
944,9,34,43,50,174,224,400,1530,1930,1864,4808,6672,8252,13022,21274,18737,25212,43949,52732,53986,106718
945,7,39,46,54,168,222,416,1498,1914,1840,4715,6555,7959,13002,20961,18372,25146,43518,52546,54630,107176
946,19,36,55,58,190,248,417,1591,2008,1976,4777,6753,8167,13199,21366,18379,25411,43790,52079,54159,106238
947,14,43,57,55,179,234,407,1591,1998,1903,4917,6820,8185,13345,21530,18602,25407,44009,53036,53613,106649
948,8,36,44,57,167,224,410,1507,1917,1937,4696,6633,8118,12826,20944,18128,25216,43344,52715,54403,107118
949,10,35,45,53,173,226,439,1522,1961,1970,4786,6756,8335,13024,21359,18765,25537,44302,52955,54540,107495
950,8,35,43,45,172,217,420,1553,1973,1885,4488,6373,8291,12654,20945,18700,24952,43652,53057,54544,107601
951,13,41,54,67,173,240,441,1600,2041,1923,4826,6749,8130,13122,21252,18221,25485,43706,52541,54783,107324
952,12,27,39,67,182,249,479,1670,2149,2000,4853,6853,8295,13116,21411,18072,25202,43274,52791,55039,107830
953,22,36,58,67,175,242,439,1540,1979,1936,4699,6635,8086,13240,21326,18619,25252,43871,52167,54169,106336
954,14,39,53,70,186,256,442,1697,2139,1855,4837,6692,8021,12969,20990,18071,24964,43035,52556,54198,106754
955,13,39,52,59,155,214,435,1663,2098,1974,4826,6800,8310,12861,21171,18638,25144,43782,53460,54642,108102
956,17,46,63,66,177,243,425,1615,2040,1968,4833,6801,8359,13145,21504,18907,25338,44245,53376,54214,107590
957,14,40,54,67,207,274,438,1649,2087,1943,5018,6961,8403,13497,21900,18785,25510,44295,52740,54287,107027
958,11,38,49,53,177,230,409,1604,2013,1932,4765,6697,8297,13154,21451,18748,25609,44357,52863,55111,107974
959,15,30,45,69,160,229,444,1581,2025,2001,4860,6861,8348,13359,21707,18847,25307,44154,53026,53583,106609
960,5,36,41,48,175,223,402,1630,2032,1898,4885,6783,8319,13324,21643,18456,25504,43960,53314,54318,107632
961,13,39,52,59,157,216,412,1685,2097,1964,4769,6733,8421,12821,21242,18782,25124,43906,52407,54345,106752
962,11,33,44,65,164,229,426,1624,2050,1914,4797,6711,8015,13002,21017,18387,25366,43753,52726,55444,108170
963,16,37,53,55,189,244,423,1577,2000,1850,4716,6566,7800,13050,20850,18005,25063,43068,51977,54576,106553
964,16,44,60,57,190,247,422,1583,2005,1915,4890,6805,8028,13268,21296,18338,25474,43812,52635,54706,107341
965,11,35,46,72,177,249,415,1582,1997,1927,4792,6719,7949,13100,21049,18253,25451,43704,52239,54136,106375
966,10,37,47,50,162,212,422,1504,1926,1899,4699,6598,8070,13081,21151,18312,25231,43543,52542,54295,106837
967,11,27,38,67,142,209,472,1508,1980,1984,4574,6558,8305,13007,21312,18480,25055,43535,52446,53667,106113
968,18,36,54,56,177,233,433,1634,2067,1911,4903,6814,8088,13538,21626,18431,25746,44177,52535,55249,107784
969,13,38,51,57,151,208,408,1567,1975,1900,4738,6638,7998,13255,21253,17893,25429,43322,51789,54578,106367
970,6,29,35,57,172,229,447,1571,2018,2077,4975,7052,8391,13310,21701,18564,25268,43832,52813,54652,107465
971,8,21,29,64,161,225,406,1505,1911,1837,4715,6552,8070,13256,21326,18346,25578,43924,52120,55239,107359
972,6,42,48,54,204,258,460,1556,2016,1973,4681,6654,8440,12820,21260,18553,25077,43630,52618,54517,107135
973,10,38,48,53,150,203,409,1634,2043,1845,4938,6783,7997,13457,21454,18428,25953,44381,52764,55026,107790
974,10,48,58,52,173,225,424,1637,2061,2005,5066,7071,8536,13521,22057,19051,25666,44717,53830,55080,108910
975,16,36,52,70,162,232,423,1652,2075,1919,4850,6769,8182,13507,21689,18410,25870,44280,52840,55296,108136
976,6,41,47,47,208,255,425,1638,2063,1973,4981,6954,8307,13203,21510,18978,25461,44439,53087,54792,107879
977,9,42,51,53,169,222,405,1517,1922,1838,4732,6570,7953,13106,21059,18468,24979,43447,52502,53945,106447
978,14,40,54,61,178,239,411,1556,1967,1932,4979,6911,8236,13147,21383,18502,25411,43913,52767,55437,108204
979,10,35,45,53,173,226,416,1662,2078,1921,4874,6795,8164,13192,21356,18443,25515,43958,52486,54832,107318
980,12,37,49,65,176,241,439,1572,2011,1965,4911,6876,8208,13185,21393,18730,25606,44336,52929,55610,108539
981,9,37,46,64,166,230,442,1688,2130,1905,5010,6915,8067,13286,21353,18426,25495,43921,52589,54961,107550
982,7,31,38,45,165,210,426,1588,2014,1964,4735,6699,8236,13155,21391,18684,25665,44349,53044,55394,108438
983,13,40,53,51,147,198,440,1586,2026,2070,4766,6836,8368,12894,21262,18573,25235,43808,52977,53918,106895
984,7,45,52,52,188,240,445,1625,2070,1983,4839,6822,8281,13087,21368,18519,25591,44110,52261,55094,107355
985,6,33,39,51,173,224,451,1556,2007,1914,4743,6657,8310,13000,21310,18610,24898,43508,53139,54873,108012
986,11,38,49,59,148,207,416,1607,2023,1934,4833,6767,8044,12987,21031,18349,25226,43575,52080,54671,106751
987,5,39,44,39,158,197,415,1540,1955,1970,5011,6981,8369,13263,21632,18491,25639,44130,52730,55280,108010
988,13,31,44,63,172,235,430,1574,2004,1863,4783,6646,8165,13255,21420,18576,25728,44304,53356,54806,108162
989,21,48,69,75,199,274,495,1588,2083,2056,4985,7041,8207,13406,21613,18960,25293,44253,53588,54454,108042
990,13,32,45,68,208,276,420,1731,2151,1890,5034,6924,8132,13398,21530,18596,26452,45048,52268,55557,107825
991,19,34,53,68,148,216,454,1689,2143,2006,4999,7005,8174,13389,21563,18191,25481,43672,52142,54809,106951
992,20,30,50,59,155,214,439,1563,2002,1902,4791,6693,8260,12919,21179,18758,25066,43824,53481,54382,107863
993,7,20,27,37,174,211,369,1601,1970,1885,4792,6677,8276,12890,21166,18481,25133,43614,52267,54534,106801
994,11,36,47,65,177,242,417,1651,2068,1885,4850,6735,8196,13367,21563,18307,25344,43651,51748,54650,106398
995,16,28,44,65,160,225,428,1508,1936,1951,4774,6725,8243,13054,21297,18775,25066,43841,53100,54762,107862
996,7,43,50,44,188,232,425,1548,1973,1866,4653,6519,8108,12918,21026,18332,25359,43691,52425,55016,107441
997,10,37,47,44,152,196,457,1560,2017,1984,4952,6936,8394,13327,21721,18743,25706,44449,53086,54848,107934
998,9,47,56,48,177,225,413,1584,1997,1848,4745,6593,8215,13325,21540,18861,25216,44077,53240,54775,108015
999,11,37,48,72,180,252,393,1599,1992,1848,4793,6641,7761,13006,20767,18013,25231,43244,51765,54744,106509
