randomization,descending_0.01,ascending_0.01,total_0.01,descending_0.02,ascending_0.02,total_0.02,descending_0.05,ascending_0.05,total_0.05,descending_0.1,ascending_0.1,total_0.1,descending_0.2,ascending_0.2,total_0.2,descending_0.3,ascending_0.3,total_0.3,descending_0.5,ascending_0.5,total_0.5
764,8,21,29,69,143,212,425,1555,1980,1856,4872,6728,8037,13224,21261,18380,25753,44133,52493,54932,107425
765,19,33,52,57,166,223,433,1703,2136,1805,4966,6771,8047,13009,21056,18551,24942,43493,53380,54221,107601
766,14,52,66,71,177,248,393,1697,2090,1846,4932,6778,7932,13249,21181,18155,25733,43888,51876,55089,106965
767,24,41,65,56,162,218,404,1675,2079,1991,4937,6928,8214,13307,21521,18462,25656,44118,52891,55238,108129
768,12,41,53,51,159,210,400,1667,2067,1852,4927,6779,8132,13199,21331,18579,25792,44371,53010,55326,108336
769,13,40,53,55,161,216,418,1549,1967,1948,4848,6796,8195,13222,21417,17990,25468,43458,51970,54889,106859
770,16,23,39,56,145,201,434,1501,1935,1917,4487,6404,8232,12515,20747,18464,24675,43139,52514,53571,106085
771,7,47,54,43,192,235,401,1641,2042,1896,4875,6771,8204,13119,21323,18884,25329,44213,53370,54895,108265
772,9,43,52,59,188,247,436,1575,2011,1902,4857,6759,8249,12983,21232,18582,25580,44162,52817,54882,107699
773,11,29,40,65,172,237,446,1652,2098,2066,4926,6992,8326,13334,21660,18610,25945,44555,52730,55001,107731
774,8,30,38,50,153,203,430,1643,2073,2019,4758,6777,8187,13128,21315,18714,25446,44160,52658,54868,107526
775,7,26,33,55,172,227,440,1536,1976,1981,4647,6628,8326,13012,21338,18523,25090,43613,52449,53804,106253
776,9,26,35,62,160,222,430,1586,2016,1926,4839,6765,8233,12997,21230,18647,25539,44186,52842,55064,107906
777,7,43,50,39,162,201,368,1666,2034,1880,4782,6662,8193,13046,21239,18506,25245,43751,52268,54091,106359
778,15,17,32,63,158,221,474,1667,2141,1967,4779,6746,8346,12866,21212,18440,25123,43563,52542,54539,107081
779,10,33,43,67,185,252,474,1597,2071,1911,4813,6724,8066,13250,21316,18291,25711,44002,53103,54972,108075
780,18,39,57,61,176,237,435,1525,1960,1928,4577,6505,8025,12452,20477,18241,24454,42695,52248,54099,106347
781,14,36,50,48,184,232,455,1571,2026,1964,4625,6589,8464,12691,21155,18983,24994,43977,53531,54769,108300
782,14,37,51,61,170,231,442,1595,2037,1958,4989,6947,8344,13159,21503,18671,25277,43948,52713,54954,107667
783,12,39,51,55,180,235,399,1670,2069,1928,4790,6718,8311,13153,21464,18600,25159,43759,52512,54165,106677
784,12,39,51,66,159,225,483,1635,2118,2047,4729,6776,8438,13126,21564,18781,25232,44013,52746,54620,107366
785,15,36,51,72,175,247,445,1497,1942,1902,4605,6507,8255,12959,21214,18276,25294,43570,52670,55052,107722
786,15,39,54,62,181,243,439,1619,2058,1938,4821,6759,8263,13063,21326,18635,25795,44430,53243,54263,107506
787,15,39,54,54,197,251,469,1618,2087,1934,4741,6675,8466,12822,21288,18718,25069,43787,52540,54448,106988
788,14,51,65,52,193,245,426,1602,2028,1985,4730,6715,8209,12880,21089,18574,24933,43507,53217,53642,106859
789,17,37,54,69,169,238,455,1582,2037,1960,4800,6760,8294,12999,21293,18718,24936,43654,53112,53825,106937
790,6,44,50,47,181,228,381,1651,2032,1859,4864,6723,8053,13371,21424,18149,25631,43780,51897,55108,107005
791,10,38,48,59,176,235,441,1655,2096,1931,4806,6737,8131,12962,21093,18678,25152,43830,52925,54139,107064
792,11,39,50,48,180,228,454,1745,2199,1957,5034,6991,8340,13498,21838,18885,25893,44778,53336,55176,108512
793,9,45,54,54,179,233,402,1574,1976,1940,4832,6772,8268,13158,21426,18740,25324,44064,52640,54870,107510
794,13,29,42,59,121,180,399,1445,1844,1916,4372,6288,8137,12470,20607,18430,24708,43138,52819,54578,107397
795,10,25,35,60,193,253,494,1557,2051,2019,4641,6660,8263,13284,21547,18586,25626,44212,52345,54799,107144
796,10,49,59,46,182,228,367,1643,2010,1836,4878,6714,8284,13129,21413,18574,25552,44126,52618,54240,106858
797,13,40,53,55,161,216,436,1629,2065,1952,4865,6817,8284,13051,21335,18480,25210,43690,52683,54553,107236
798,6,37,43,47,179,226,385,1598,1983,1806,4696,6502,7996,12830,20826,18225,25089,43314,52213,53954,106167
799,18,33,51,65,177,242,422,1610,2032,1925,4815,6740,8286,12945,21231,18707,25298,44005,53105,54376,107481
800,10,37,47,58,168,226,415,1514,1929,1932,4749,6681,8235,12809,21044,18504,24932,43436,52007,54610,106617
801,14,26,40,59,157,216,433,1535,1968,1968,4809,6777,8396,13227,21623,18753,25461,44214,53342,55377,108719
802,7,50,57,54,187,241,444,1676,2120,1896,4878,6774,8202,12700,20902,18405,24635,43040,52138,53969,106107
803,11,29,40,51,133,184,390,1487,1877,1815,4673,6488,8021,12755,20776,18026,24454,42480,52384,53923,106307
804,9,27,36,64,148,212,437,1588,2025,1903,4871,6774,8224,13045,21269,18538,25299,43837,52618,54567,107185
805,9,38,47,65,171,236,429,1526,1955,1990,4747,6737,8368,13121,21489,18582,25082,43664,53002,54268,107270
806,13,31,44,50,184,234,430,1653,2083,1966,5023,6989,8228,13359,21587,18837,25760,44597,52652,54979,107631
807,14,38,52,64,172,236,432,1649,2081,1912,5022,6934,8278,13367,21645,18443,25557,44000,52692,54616,107308
808,11,37,48,63,157,220,423,1474,1897,1995,4649,6644,8513,12928,21441,19087,25246,44333,53953,54530,108483
809,11,43,54,66,183,249,430,1551,1981,1938,4720,6658,8455,13007,21462,18586,24873,43459,53860,54779,108639
810,9,36,45,64,192,256,401,1623,2024,1861,4885,6746,8136,13213,21349,18447,25273,43720,52583,55299,107882
811,10,31,41,53,168,221,399,1513,1912,1953,4869,6822,8168,13485,21653,18569,25688,44257,52862,55315,108177
812,10,38,48,62,173,235,419,1575,1994,2019,4758,6777,8145,13146,21291,18180,25259,43439,52552,54288,106840
813,18,31,49,74,179,253,444,1596,2040,1999,4891,6890,8123,13224,21347,18272,25407,43679,53001,54655,107656
