edges,in_degree_sd,in_degree_max,out_degree_sd,out_degree_max,total_cost_um,median_length_um,cross_compartment_fraction,reciprocity,transitivity,flow,pairs,neck_crossing_edges,rich_routes,model,index
488996,7.81843,75,29.0594,868,9.09503e+07,153.006,0.0804076,0.00550925,0.00978675,9939,266443,39133,14996,G_deg,11
492044,7.87504,67,29.0538,868,9.15744e+07,152.916,0.0803709,0.0051093,0.00979989,10093,267910,39136,16514,G_deg,12
491131,7.88489,69,29.2166,848,9.15517e+07,153.427,0.080447,0.00507807,0.00962672,10038,266076,39154,16036,G_deg,13
489862,7.84436,67,28.9091,837,9.11206e+07,153.04,0.0800634,0.00507898,0.00968754,9817,269745,39013,16031,G_deg,14
490022,7.88316,76,29.036,856,9.11815e+07,153.166,0.0805678,0.00513038,0.00979474,9981,269379,39125,15390,G_deg,15
489987,7.86041,70,29.0415,845,9.12354e+07,153.322,0.0806266,0.0048736,0.00972451,10054,267176,39265,15261,G_deg,16
491234,7.85664,86,29.0216,843,9.13229e+07,153.202,0.0799334,0.00502001,0.00970499,10061,266075,38739,15762,G_deg,17
489733,7.83702,69,29.0433,860,9.11665e+07,153.416,0.0801028,0.00494147,0.0097172,10035,267177,38977,15446,G_deg,18
491315,7.903,71,29.1625,881,9.15087e+07,153.359,0.0799752,0.00512909,0.00976131,9962,267176,39218,14919,G_deg,19
491144,7.84671,78,29.167,864,9.13657e+07,153.234,0.0803919,0.00512681,0.00968879,9851,267911,39064,15430,G_deg,20
492044,7.86778,70,29.1454,840,9.17322e+07,153.664,0.0807062,0.00522717,0.00966198,9993,270112,39375,15523,G_deg,21
491326,7.89258,77,29.1188,884,9.16025e+07,153.406,0.0802441,0.00514526,0.00966374,10073,267543,39296,14599,G_deg,22
490917,7.85972,68,29.0749,852,9.15775e+07,153.35,0.0809505,0.00504362,0.00975305,9959,268277,39387,15698,G_deg,23
491109,7.88338,71,29.1157,871,9.14653e+07,153.415,0.0799354,0.00515568,0.00973378,10050,267910,38945,15481,G_deg,24
491247,7.85993,66,28.9306,839,9.18486e+07,153.78,0.0811995,0.00508502,0.00967101,10128,267176,39631,15418,G_deg,25
490577,7.81803,63,29.131,848,9.13119e+07,153.257,0.0802361,0.00494927,0.00973576,9976,268644,38890,15626,G_deg,26
489287,7.86002,65,28.8501,873,9.11496e+07,153.176,0.0802494,0.00501137,0.00968927,9971,268644,39034,15542,G_deg,27
491015,7.87471,65,29.1259,930,9.14236e+07,153.206,0.0800831,0.00503854,0.0096878,10036,268277,39177,15409,G_deg,28
490915,7.87338,72,29.0381,876,9.16736e+07,153.488,0.0805211,0.00511698,0.00962305,9927,267543,39388,15901,G_deg,29
489249,7.85789,76,28.9601,852,9.1207e+07,153.463,0.0801044,0.00514258,0.00973176,9886,269011,39049,15313,G_deg,30
491011,7.88123,74,29.0845,894,9.145e+07,153.239,0.0805542,0.00524225,0.00981434,10050,269011,39272,15734,G_deg,31
491140,7.91181,69,29.0081,845,9.15099e+07,153.387,0.0801482,0.00506169,0.00968112,10111,270112,39409,15354,G_deg,32
491538,7.84128,74,29.0658,859,9.17691e+07,153.55,0.0807364,0.00494367,0.00974012,9904,267176,39564,15155,G_deg,33
491471,7.91537,69,29.1541,888,9.14799e+07,153.125,0.0800047,0.00511119,0.0097132,9997,269378,39274,15765,G_deg,34
489453,7.80761,80,29.09,891,9.11252e+07,153.13,0.0808086,0.00518129,0.00957548,9922,269012,39131,15215,G_deg,35
491793,7.86007,68,29.2002,814,9.16409e+07,153.354,0.0806356,0.00483943,0.00968658,10245,270112,39424,16404,G_deg,36
490242,7.88029,70,29.0304,839,9.11998e+07,153.259,0.0803073,0.00525455,0.00963892,10002,267910,39167,15277,G_deg,37
491530,7.84049,82,28.9224,858,9.14993e+07,153.586,0.0796859,0.00511464,0.00970007,9833,268277,39063,15446,G_deg,38
490900,7.89957,71,29.1231,870,9.14741e+07,153.619,0.0803035,0.00481564,0.00971282,9979,268277,39346,15479,G_deg,39
490139,7.90435,67,28.9579,821,9.15318e+07,153.539,0.0808587,0.00493737,0.00962421,10051,267543,39502,15942,G_deg,40
490997,7.84132,74,29.0061,839,9.13426e+07,153.272,0.080194,0.00492875,0.00967892,10177,265708,39054,15346,G_deg,41
490770,7.93836,63,28.9266,824,9.13138e+07,153.35,0.0802881,0.0048862,0.00973783,10023,266075,38945,14965,G_deg,42
492055,7.85467,66,29.1363,834,9.15073e+07,153.119,0.0803609,0.00497505,0.00983394,9985,267543,39358,15133,G_deg,43
491322,7.86575,65,29.1796,838,9.14687e+07,153.137,0.0806396,0.0047993,0.00970347,9996,268278,39397,15080,G_deg,44
489663,7.82003,61,28.8675,836,9.1297e+07,153.52,0.0803042,0.00491358,0.00966632,9970,265342,39188,14874,G_deg,45
490262,7.83313,72,29.0432,826,9.13583e+07,153.145,0.0808343,0.00518498,0.00973882,9976,269378,39358,15040,G_deg,46
491299,7.86396,65,29.1225,865,9.14703e+07,153.335,0.080218,0.0052351,0.00958697,9831,267177,38971,15589,G_deg,47
490015,7.83463,81,29.0658,888,9.1401e+07,153.475,0.0797363,0.00519984,0.00975356,9832,269011,39136,14845,G_deg,48
490345,7.81257,72,29.1671,862,9.12911e+07,153.253,0.0798948,0.00513924,0.00956044,9701,265341,39080,15057,G_deg,49
