node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
DNpe023|R,DNpe023,R,descending,2,1257.94,0,0,0,0,0.00
DNpe024|L,DNpe024,L,descending,13,6644.84,0,0,0,0,0.00
DNpe024|R,DNpe024,R,descending,13,6727.48,0,0,0,0,0.00
DNpe025|L,DNpe025,L,descending,28,14244.26,0,0,0,0,0.00
DNpe025|R,DNpe025,R,descending,24,11634.37,0,0,0,0,0.00
DNpe026|L,DNpe026,L,descending,15,9982.33,0,0,0,0,0.00
DNpe026|R,DNpe026,R,descending,23,15070.88,0,0,0,0,0.00
DNpe027|L,DNpe027,L,descending,5,3234.24,0,0,0,0,0.00
DNpe027|R,DNpe027,R,descending,4,2543.04,0,0,0,0,0.00
DNpe028|L,DNpe028,L,descending,24,16439.84,0,0,0,0,0.00
DNpe028|R,DNpe028,R,descending,13,8274.53,0,0,0,0,0.00
DNpe029|L,DNpe029,L,descending,23,15174.03,0,0,0,0,0.00
DNpe029|R,DNpe029,R,descending,25,16119.97,0,0,0,0,0.00
DNpe030|L,DNpe030,L,descending,14,9296.39,0,0,0,0,0.00
AN07B069_b|L,AN07B069_b,L,ascending,13,5088.49,0,0,0,0,0.00
DNpe031|L,DNpe031,L,descending,69,37562.30,0,0,0,0,0.00
DNpe031|R,DNpe031,R,descending,62,33382.11,0,0,0,0,0.00
DNpe032|L,DNpe032,L,descending,41,24074.23,0,0,0,0,0.00
DNpe032|R,DNpe032,R,descending,50,30341.93,0,0,0,0,0.00
AN07B069_b|R,AN07B069_b,R,ascending,11,4550.56,0,0,0,0,0.00
AN07B070|L,AN07B070,L,ascending,1,242.70,0,0,0,0,0.00
DNpe035|L,DNpe035,L,descending,3,1987.35,0,0,0,0,0.00
AN07B070|R,AN07B070,R,ascending,2,577.35,0,0,0,0,0.00
AN07B071_a|L,AN07B071_a,L,ascending,1,249.16,0,0,0,0,0.00
AN07B071_a|R,AN07B071_a,R,ascending,1,357.97,0,0,0,0,0.00
DNpe037|L,DNpe037,L,descending,6,3026.24,0,0,0,0,0.00
DNpe037|R,DNpe037,R,descending,8,3598.58,0,0,0,0,0.00
DNpe039|L,DNpe039,L,descending,23,11781.17,0,0,0,0,0.00
DNpe039|R,DNpe039,R,descending,23,12124.95,0,0,0,0,0.00
AN07B071_b|L,AN07B071_b,L,ascending,1,239.95,0,0,0,0,0.00
AN07B071_c|L,AN07B071_c,L,ascending,5,1778.15,0,0,0,0,0.00
AN07B071_c|R,AN07B071_c,R,ascending,5,2001.27,0,0,0,0,0.00
AN07B071_d|L,AN07B071_d,L,ascending,6,1817.81,0,0,0,0,0.00
DNpe042|L,DNpe042,L,descending,9,4218.58,0,0,0,0,0.00
DNpe042|R,DNpe042,R,descending,11,5285.92,0,0,0,0,0.00
AN07B071_d|R,AN07B071_d,R,ascending,7,2248.37,0,0,0,0,0.00
AN07B072_a|L,AN07B072_a,L,ascending,12,9129.23,0,0,0,0,0.00
AN07B072_a|R,AN07B072_a,R,ascending,2,1630.25,0,0,0,0,0.00
AN07B072_b|L,AN07B072_b,L,ascending,5,3948.64,0,0,0,0,0.00
DNpe049|L,DNpe049,L,descending,38,24979.57,0,0,0,0,0.00
DNpe049|R,DNpe049,R,descending,33,20678.19,0,0,0,0,0.00
AN01A086|R,AN01A086,R,ascending,72,33387.34,0,0,0,0,0.00
AN00A009|M,AN00A009,M,ascending,4,1774.62,0,0,0,0,0.00
AN01A006|L,AN01A006,L,ascending,1,504.57,0,0,0,0,0.00
AN01A006|R,AN01A006,R,ascending,1,727.91,0,0,0,0,0.00
AN01A014|L,AN01A014,L,ascending,3,999.81,0,0,0,0,0.00
AN01A014|R,AN01A014,R,ascending,4,1418.07,0,0,0,0,0.00
AN01A021|L,AN01A021,L,ascending,5,2369.10,0,0,0,0,0.00
AN01A021|R,AN01A021,R,ascending,3,2252.70,0,0,0,0,0.00
AN01A033|L,AN01A033,L,ascending,11,4491.17,0,0,0,0,0.00
AN01A033|R,AN01A033,R,ascending,16,6437.88,0,0,0,0,0.00
AN01A049|L,AN01A049,L,ascending,3,1131.97,0,0,0,0,0.00
AN01A049|R,AN01A049,R,ascending,7,2754.73,0,0,0,0,0.00
AN01A055|L,AN01A055,L,ascending,69,30131.91,0,0,0,0,0.00
AN07B072_b|R,AN07B072_b,R,ascending,8,6207.95,0,0,0,0,0.00
AN01A086|L,AN01A086,L,ascending,74,34393.82,0,0,0,0,0.00
AN00A006|M,AN00A006,M,ascending,110,91961.74,0,0,0,0,0.00
DNxl114|R,DNxl114,R,descending,35,22139.04,0,0,0,0,0.00
DNpe050|R,DNpe050,R,descending,33,19077.27,0,0,0,0,0.00
AN07B072_c|L,AN07B072_c,L,ascending,3,2387.10,0,0,0,0,0.00
AN07B072_c|R,AN07B072_c,R,ascending,4,3164.01,0,0,0,0,0.00
DNpe053|L,DNpe053,L,descending,51,42381.39,2,0,0,0,0.00
DNpe053|R,DNpe053,R,descending,50,41157.89,3,0,0,0,0.00
DNpe054|L,DNpe054,L,descending,31,20428.34,0,0,0,0,0.00
DNpe054|R,DNpe054,R,descending,22,14948.53,0,0,0,0,0.00
DNpe055|L,DNpe055,L,descending,37,22786.84,0,0,0,0,0.00
DNpe055|R,DNpe055,R,descending,31,18856.88,0,0,0,0,0.00
DNpe056|L,DNpe056,L,descending,43,26059.34,0,0,0,0,0.00
DNpe056|R,DNpe056,R,descending,50,29918.34,0,0,0,0,0.00
DNpe057|L,DNpe057,L,descending,4,1869.20,0,0,0,0,0.00
DNpe057|R,DNpe057,R,descending,4,2399.98,0,0,0,0,0.00
DNxl114|L,DNxl114,L,descending,27,17046.88,0,0,0,0,0.00
AN00A002|M,AN00A002,M,ascending,3,1212.24,0,0,0,0,0.00
