node,cell_type,side,direction,edges,price_um,lost_flow,lost_flow_brain_to_vnc,lost_flow_vnc_to_brain,value,value_per_mm
DNge122|R,DNge122,R,descending,30,17018.76,0,0,0,0,0.00
DNge123|L,DNge123,L,descending,7,2612.63,0,0,0,0,0.00
DNge123|R,DNge123,R,descending,5,1822.95,0,0,0,0,0.00
DNge124|L,DNge124,L,descending,10,5870.25,0,0,0,0,0.00
DNge124|R,DNge124,R,descending,9,5489.15,0,0,0,0,0.00
AN06B012|R,AN06B012,R,ascending,3,1819.09,0,0,0,0,0.00
AN06B015|L,AN06B015,L,ascending,4,1941.64,0,0,0,0,0.00
DNge126|L,DNge126,L,descending,1,359.15,0,0,0,0,0.00
DNge126|R,DNge126,R,descending,1,456.25,0,0,0,0,0.00
DNge127|L,DNge127,L,descending,12,7343.96,0,0,0,0,0.00
DNge127|R,DNge127,R,descending,8,5036.02,0,0,0,0,0.00
AN06B025|R,AN06B025,R,ascending,21,15381.18,0,0,0,0,0.00
AN06B026|L,AN06B026,L,ascending,4,2070.77,0,0,0,0,0.00
DNge129|L,DNge129,L,descending,66,42698.11,0,0,0,0,0.00
DNge129|R,DNge129,R,descending,62,40132.63,0,0,0,0,0.00
DNge130|L,DNge130,L,descending,7,3565.78,0,0,0,0,0.00
DNge130|R,DNge130,R,descending,7,3570.45,0,0,0,0,0.00
DNge131|L,DNge131,L,descending,24,13811.57,0,0,0,0,0.00
DNge131|R,DNge131,R,descending,30,17435.82,0,0,0,0,0.00
DNge132|L,DNge132,L,descending,17,8900.41,0,0,0,0,0.00
DNge132|R,DNge132,R,descending,21,10386.20,0,0,0,0,0.00
DNge133|L,DNge133,L,descending,6,2752.60,0,0,0,0,0.00
DNge133|R,DNge133,R,descending,2,888.86,0,0,0,0,0.00
DNge134|L,DNge134,L,descending,1,554.03,0,0,0,0,0.00
DNge134|R,DNge134,R,descending,1,514.16,0,0,0,0,0.00
DNge135|L,DNge135,L,descending,11,7887.93,0,0,0,0,0.00
DNge135|R,DNge135,R,descending,13,8731.08,0,0,0,0,0.00
AN06B026|R,AN06B026,R,ascending,5,2535.30,0,0,0,0,0.00
AN06B031|L,AN06B031,L,ascending,5,1882.43,0,0,0,0,0.00
DNge137|L,DNge137,L,descending,7,5739.19,0,0,0,0,0.00
AN06B031|R,AN06B031,R,ascending,4,2168.38,0,0,0,0,0.00
DNge138|M,DNge138,M,descending,12,5854.01,0,0,0,0,0.00
AN06B034|L,AN06B034,L,ascending,27,17189.87,0,0,0,0,0.00
AN06B034|R,AN06B034,R,ascending,20,13368.76,0,0,0,0,0.00
DNge140|L,DNge140,L,descending,13,8886.63,0,0,0,0,0.00
DNge140|R,DNge140,R,descending,12,7705.82,0,0,0,0,0.00
AN06B037|L,AN06B037,L,ascending,34,16723.47,0,0,0,0,0.00
AN06B037|R,AN06B037,R,ascending,35,18041.44,0,0,0,0,0.00
AN06B039|L,AN06B039,L,ascending,25,17047.20,0,0,0,0,0.00
AN06B039|R,AN06B039,R,ascending,19,13722.84,0,0,0,0,0.00
AN06B042|R,AN06B042,R,ascending,1,530.30,0,0,0,0,0.00
AN06B044|R,AN06B044,R,ascending,11,8574.96,0,0,0,0,0.00
DNge144|L,DNge144,L,descending,5,3380.01,0,0,0,0,0.00
DNge144|R,DNge144,R,descending,10,6149.73,0,0,0,0,0.00
DNge145|L,DNge145,L,descending,3,1265.79,0,0,0,0,0.00
DNge145|R,DNge145,R,descending,3,1326.14,0,0,0,0,0.00
DNge146|L,DNge146,L,descending,5,2417.52,0,0,0,0,0.00
DNge146|R,DNge146,R,descending,4,1813.60,0,0,0,0,0.00
DNge147|L,DNge147,L,descending,8,3406.68,0,0,0,0,0.00
DNge147|R,DNge147,R,descending,7,3196.79,0,0,0,0,0.00
AN06B045|L,AN06B045,L,ascending,5,4320.40,0,0,0,0,0.00
AN06B045|R,AN06B045,R,ascending,4,3040.11,0,0,0,0,0.00
DNge149|M,DNge149,M,descending,29,11977.55,0,0,0,0,0.00
AN06B051|R,AN06B051,R,ascending,18,9112.95,0,0,0,0,0.00
AN06B057|L,AN06B057,L,ascending,23,11824.74,0,0,0,0,0.00
DNge152|M,DNge152,M,descending,16,5278.91,0,0,0,0,0.00
DNge153|L,DNge153,L,descending,30,16430.98,0,0,0,0,0.00
DNge153|R,DNge153,R,descending,28,15617.82,0,0,0,0,0.00
DNge154|L,DNge154,L,descending,3,1863.24,0,0,0,0,0.00
DNge154|R,DNge154,R,descending,3,1872.36,0,0,0,0,0.00
