bodyId,type,superclass,cable_um,skeleton_nodes,fragments,soma_to_output_um
813382,IN13B079,vnc_intrinsic,1178.827,1613,1,119.491
813440,IN08A036,vnc_intrinsic,1261.417,1675,1,72.625
813489,IN10B042,vnc_intrinsic,854.320,1265,2,167.610
814006,IN19B071,vnc_intrinsic,1723.057,2353,1,57.344
814119,IN07B098,vnc_intrinsic,726.186,954,1,255.940
814199,IN13A059,vnc_intrinsic,1045.286,1317,1,72.357
814264,IN09A079,vnc_intrinsic,1274.497,1779,1,62.499
814471,IN11B021_e,vnc_intrinsic,917.782,1243,3,68.439
815201,IN03B073,vnc_intrinsic,1210.333,1658,1,208.488
815542,IN01A082,vnc_intrinsic,954.330,1315,1,179.844
816291,IN09B050,vnc_intrinsic,1351.376,1921,1,124.002
816607,IN08A036,vnc_intrinsic,767.410,1021,1,71.134
816668,IN21A082,vnc_intrinsic,1022.586,1381,1,57.273
816725,IN13B072,vnc_intrinsic,758.379,1000,1,97.883
816828,IN19A041,vnc_intrinsic,3181.324,4291,2,84.132
816914,IN19A109_b,vnc_intrinsic,1084.030,1426,1,72.013
817053,IN06A075,vnc_intrinsic,1134.273,1526,1,183.581
817583,IN19A088_d,vnc_intrinsic,1134.980,1515,1,98.895
818265,IN09A044,vnc_intrinsic,521.294,706,1,108.069
818326,IN20A.22A092,vnc_intrinsic,670.935,952,1,126.982
818681,IN19A065,vnc_intrinsic,1453.662,1966,1,105.432
819473,IN19A117,vnc_intrinsic,722.979,1018,1,108.489
822331,IN01A082,vnc_intrinsic,1202.842,1627,1,170.494
824886,IN01B093,vnc_intrinsic,684.377,989,2,69.885
826146,IN19A114,vnc_intrinsic,356.577,404,1,70.873
902341,IN09A037,vnc_intrinsic,1631.022,2227,2,76.007
902483,IN09A003,vnc_intrinsic,8365.510,10557,1,91.333
903116,IN09A006,vnc_intrinsic,8354.079,11016,1,89.344
903419,IN23B023,vnc_intrinsic,3064.041,4111,1,106.424
903784,IN09A064,vnc_intrinsic,862.815,1127,1,96.653
904186,IN04B036,vnc_intrinsic,3207.138,4306,1,73.817
904325,IN09A027,vnc_intrinsic,1488.345,1921,1,101.826
904397,IN16B092,vnc_intrinsic,1430.082,1927,1,82.197
904539,IN11B001,vnc_intrinsic,1865.455,1715,2,33.827
905258,IN19A088_e,vnc_intrinsic,1378.322,1838,1,94.630
905303,IN27X014,vnc_intrinsic,5142.645,6584,1,107.400
905610,IN12B040,vnc_intrinsic,1778.895,2249,1,80.294
906622,INXXX385,vnc_intrinsic,2254.044,2966,1,55.447
907370,INXXX379,vnc_intrinsic,2345.239,3087,1,37.238
907761,IN11B025,vnc_intrinsic,1378.058,1870,1,59.241
907951,IN03B043,vnc_intrinsic,2721.977,3730,1,103.992
908351,IN20A.22A053,vnc_intrinsic,1155.452,1480,1,72.446
909002,IN03A051,vnc_intrinsic,2020.265,2702,1,118.610
909084,IN23B033,vnc_intrinsic,1562.973,1940,1,153.535
909128,IN06A096,vnc_intrinsic,1541.609,2124,1,178.650
909328,IN06B064,vnc_intrinsic,2014.242,2762,1,143.811
909376,IN01B021,vnc_intrinsic,1504.159,1853,1,42.209
910551,IN12B022,vnc_intrinsic,2143.771,2795,2,69.232
910785,IN10B033,vnc_intrinsic,1400.302,1880,1,75.963
911083,IN03A082,vnc_intrinsic,810.077,1105,4,114.059
912163,IN06B040,vnc_intrinsic,1606.586,2191,1,386.940
936541,IN20A.22A048,vnc_intrinsic,1242.595,1616,1,65.681
937655,IN04B100,vnc_intrinsic,1097.221,1435,2,107.754
944269,IN04B100,vnc_intrinsic,918.402,1241,2,105.264
1053644230,IN19A117,vnc_intrinsic,341.023,514,2,119.985
