permutation,primary,weighted,within_compartment,synapse_positions
812,2.033e+08,3.31143e+10,1.28026e+08,1.76106e+08
813,2.02509e+08,3.37324e+10,1.27794e+08,1.75234e+08
814,2.02968e+08,3.22072e+10,1.2807e+08,1.76077e+08
815,2.03722e+08,3.19277e+10,1.28098e+08,1.76379e+08
816,2.03523e+08,3.18613e+10,1.27643e+08,1.76206e+08
817,2.03326e+08,3.27717e+10,1.27551e+08,1.76424e+08
818,2.03232e+08,3.25866e+10,1.27764e+08,1.76333e+08
819,2.03211e+08,3.26094e+10,1.27599e+08,1.76381e+08
820,2.03371e+08,3.13765e+10,1.27894e+08,1.76089e+08
821,2.03091e+08,3.23427e+10,1.27789e+08,1.75843e+08
822,2.02999e+08,3.16184e+10,1.28153e+08,1.75974e+08
823,2.03038e+08,3.24983e+10,1.27933e+08,1.76161e+08
824,2.03405e+08,3.23746e+10,1.27817e+08,1.76148e+08
825,2.02821e+08,3.12793e+10,1.27649e+08,1.7607e+08
826,2.03052e+08,3.26514e+10,1.28179e+08,1.76165e+08
827,2.03234e+08,3.31377e+10,1.27833e+08,1.76144e+08
828,2.03228e+08,3.24067e+10,1.2835e+08,1.76173e+08
829,2.03396e+08,3.31566e+10,1.27918e+08,1.76121e+08
830,2.03088e+08,3.20727e+10,1.28278e+08,1.75636e+08
831,2.03389e+08,3.33374e+10,1.27931e+08,1.76205e+08
832,2.03003e+08,3.22482e+10,1.27897e+08,1.76239e+08
833,2.02357e+08,3.26181e+10,1.28182e+08,1.75567e+08
834,2.03398e+08,3.25498e+10,1.28251e+08,1.76763e+08
835,2.02395e+08,3.21738e+10,1.2804e+08,1.75357e+08
836,2.03239e+08,3.26253e+10,1.27834e+08,1.76e+08
837,2.02701e+08,3.28676e+10,1.28113e+08,1.75865e+08
838,2.03071e+08,3.20562e+10,1.2815e+08,1.76042e+08
839,2.02731e+08,3.23064e+10,1.28089e+08,1.75777e+08
840,2.02917e+08,3.22336e+10,1.2782e+08,1.75886e+08
841,2.02823e+08,3.16285e+10,1.28424e+08,1.75681e+08
